bedroom|bathroom|garage|parking|erf-size|building-size|price
2|2|NaN|2|NaN|86 m²|R5,300,000
4|4|4|NaN|601 m²|NaN|R5,300,000
11|11|NaN|NaN|1,004 m²|1,004 m²|R5,300,000
2|2|NaN|NaN|NaN|90 m²|R5,295,000
4|4|2|NaN|1,180 m²|NaN|R5,295,000
5|1|3|NaN|495 m²|NaN|R5,290,000
2|2|NaN|2|NaN|81 m²|R5,250,000
2|2|NaN|2|NaN|89 m²|R5,250,000
3|2|1|NaN|496 m²|210 m²|R5,250,000
10|10|3|NaN|803 m²|500 m²|R5,250,000
2|2|NaN|1|NaN|119 m²|R5,245,000
2|2|NaN|NaN|NaN|223 m²|R5,150,000
4|3.5|4|NaN|746 m²|395 m²|R5,100,000
4|2|2|NaN|599 m²|340 m²|R4,999,000
2|2|NaN|NaN|NaN|97 m²|R4,995,000
